phantom,TR,TE,CNR_WM_GM,noise_std_est,J
3,500,105,1.4240310786043664,0.019878514596811215,0.7840310786043664
3,500,110,1.4197116390623288,0.019874151316222558,0.7797116390623288
3,500,115,1.3997949992538132,0.020078795174903626,0.7597949992538132
3,500,120,1.3781625282857242,0.019974311953455396,0.7381625282857242
3,500,125,1.3578594380672728,0.020042698910402387,0.7178594380672728
3,500,130,1.3575493994460992,0.020022455457842005,0.7175493994460992
3,500,135,1.3258647556545107,0.01991493203086267,0.6858647556545107
3,500,140,1.261266124008362,0.02010246113731036,0.621266124008362
3,500,145,1.2698866922130387,0.019969785444990965,0.6298866922130387
3,500,150,1.2120652974627688,0.020099661238675636,0.5720652974627688
3,500,155,1.2200989863356264,0.01993663409575986,0.5800989863356264
3,500,160,1.1866955871874636,0.01982942563850584,0.5466955871874636
3,500,165,1.1426984649874539,0.019995161031501712,0.5026984649874539
3,500,170,1.104281916280061,0.01998002294947585,0.464281916280061
3,500,175,1.1050739881455405,0.019920132789595736,0.46507398814554046
3,500,180,1.0365979302303825,0.01995069220539241,0.3965979302303825
3,500,185,1.0380019510944005,0.019870915363309066,0.3980019510944005
3,500,190,1.018266075445808,0.019953450905376716,0.3782660754458079
3,500,195,0.9849125383577105,0.019887605524592906,0.3449125383577105
3,500,200,0.9249664233527379,0.0199678337803631,0.2849664233527379
3,600,10,0.2978835260475905,0.01983506853072431,-0.4701164739524095
3,600,15,0.0238343872052031,0.019970118079392533,-0.7441656127947969
3,600,20,0.273875477887131,0.020021778570395256,-0.494124522112869
3,600,25,0.47467996239483584,0.019961673886634144,-0.2933200376051642
3,600,30,0.7106881828110881,0.020017321018560366,-0.05731181718891187
3,600,35,0.8590477753960284,0.019928005242593742,0.09104777539602837
3,600,40,1.0371768108421975,0.019961078262349462,0.26917681084219747
3,600,45,1.157961486870928,0.020046381227792825,0.389961486870928
3,600,50,1.258450215787436,0.020140219017370575,0.490450215787436
3,600,55,1.3493032024950067,0.01995208087504679,0.5813032024950067
3,600,60,1.475486033025475,0.019903879813157624,0.7074860330254751
3,600,65,1.5059623145360268,0.019978677664828998,0.7379623145360268
3,600,70,1.5860029820385426,0.02001302148166337,0.8180029820385426
3,600,75,1.605556520198503,0.019994060649733518,0.8375565201985029
3,600,80,1.6351152087235719,0.01989080480602603,0.8671152087235718
3,600,85,1.6690559701431402,0.019985123479452416,0.9010559701431402
3,600,90,1.6925704770443015,0.02008735478634708,0.9245704770443015
3,600,95,1.682050772894013,0.01999489110355211,0.914050772894013
3,600,100,1.6718520938046877,0.019925608525926012,0.9038520938046877
3,600,105,1.6831299623139064,0.019908436582340885,0.9151299623139064
3,600,110,1.6736384121108236,0.0199581735048164,0.9056384121108236
3,600,115,1.6329667827369618,0.019988059181828582,0.8649667827369618
3,600,120,1.647430167739086,0.019903425059549517,0.8794301677390859
3,600,125,1.6019529691340815,0.01992961985398972,0.8339529691340815
3,600,130,1.5777334969044516,0.02000066064748126,0.8097334969044516
3,600,135,1.545218451229941,0.019961048029681013,0.7772184512299409
3,600,140,1.5336639414880815,0.019944764174541,0.7656639414880815
3,600,145,1.486063709914834,0.02004716689999955,0.7180637099148339
3,600,150,1.4613797834173887,0.019974544613017356,0.6933797834173887
3,600,155,1.4063477814064744,0.01999842222760103,0.6383477814064744
3,600,160,1.3983749824414815,0.01997883176525667,0.6303749824414815
3,600,165,1.3611753946639915,0.020021772251294586,0.5931753946639915
3,600,170,1.3007324363286374,0.020046328198685265,0.5327324363286374
3,600,175,1.279705086344322,0.019881005395260828,0.511705086344322
3,600,180,1.227251458007554,0.019942869853482988,0.45925145800755396
3,600,185,1.1871773224084121,0.020020605035029563,0.4191773224084121
3,600,190,1.1423551141044685,0.020021690027957176,0.37435511410446853
3,600,195,1.100307733556686,0.02001353083451976,0.33230773355668597
3,600,200,1.0744913089357442,0.020122218578794388,0.30649130893574417
3,700,10,0.14018581208859535,0.02011931793499847,-0.7558141879114046
3,700,15,0.1604583749296234,0.020109812124241018,-0.7355416250703766
3,700,20,0.4308785515864281,0.019933410797309384,-0.4651214484135719
3,700,25,0.7156376685347553,0.020021052466017576,-0.18036233146524472
